layername,priority
input,0
0,1000.0
1,1000.0
2,1000.0
3,1000.0
4,999.9999999417923
5,999.9999999417923
6,999.9999999417923
7,999.9999999417923
8,999.9999999417923
9,999.9999999417923
10,999.9999999417923
11,999.9999999417923
12,999.9999999417923
13,999.9999999417923
14,999.9999999417923
15,1000.0
16,1000.0
17,1000.0
18,999.9999850988388
19,1000.0
20,1000.0
21,1000.0
22,1000.0
23,1000.0
24,1000.0
25,1000.0
26,1000.0
27,1000.0
28,1000.0
29,1000.0
30,1000.0
31,1000.0
32,1000.0
33,1000.0
34,1000.0
35,1000.0
36,1000.0
37,1000.0
38,1000.0
39,1000.0
40,1000.0
41,1000.0
42,1000.0
43,1000.0
44,1000.0
45,1000.0
46,999.9999701976776
47,999.9999701976776
48,999.9999701976776
49,999.9999701976776
50,999.9999701976776
51,999.9999701976776
52,999.9999701976776
53,999.9999701976776
54,999.9999701976776
55,999.9999701976776
56,999.9999701976776
57,999.9999701976776
58,999.9999701976776
59,999.9999701976776
60,999.9999701976776
61,999.9999701976776
62,999.9999701976776
63,999.9999701976776
64,999.9999701976776
65,999.9999701976776
66,999.9999701976776
67,999.9999701976776
68,999.9999701976776
69,1000.0
70,1000.0
71,1000.0
72,1000.0
73,999.9999403953552
74,999.9999403953552
75,999.9999403953552
76,999.9999403953552
77,999.9999403953552
78,999.9999403953552
79,999.9999403953552
80,999.9999403953552
81,999.9999403953552
82,999.9999403953552
83,999.9999403953552
84,1000.0
85,1000.0
86,1000.0
87,999.9990463256836
88,1000.0
89,1000.0
90,1000.0
91,1000.0
92,1000.0
93,1000.0
94,1000.0
95,1000.0
96,1000.0
97,1000.0
98,1000.0
99,1000.0
100,1000.0
101,999.9923706054688
102,1000.0
103,1000.0
104,1000.0
105,1000.0
106,1000.0
107,999.9961853027344
108,999.9961853027344
109,999.9980926513672
110,999.9980926513672
111,1000.0
112,1000.0
113,1000.0
114,1000.0
115,1000.0
116,1000.0
117,1000.0
118,999.9847412109375
119,999.9847412109375
120,1000.0
121,1000.0
122,999.969482421875
123,1000.0
124,1000.0
125,1000.0
126,1000.0
127,1000.0
128,1000.0
129,1000.0
130,1000.0
131,1000.0
132,1000.0
133,1000.0
134,999.93896484375
135,999.93896484375
136,1000.0
137,1000.0
138,999.8779296875
139,1000.0
140,1000.0
141,1000.0
142,1000.0
143,1000.0
144,1000.0
145,1000.0
146,1000.0
147,1000.0
148,1000.0
149,1000.0
150,999.755859375
151,999.755859375
152,1000.0
153,1000.0
154,1000.0
155,999.51171875
156,999.51171875
157,999.51171875
158,999.51171875
159,999.51171875
160,999.51171875
161,999.51171875
162,1000.0
163,1000.0
164,1000.0
165,1000.0
166,1000.0
167,1000.0
168,998.046875
169,998.046875
170,998.046875
171,998.046875
172,998.046875
173,998.046875
174,998.046875
175,1000.0
176,1000.0
177,1000.0
178,1000.0
179,1000.0
180,992.1875
181,1000.0
182,1000.0
183,1000.0
184,1000.0
185,1000.0
186,1000.0
187,1000.0
188,1000.0
189,1000.0
190,1000.0
191,1000.0
192,1000.0
193,968.75
194,1000.0
195,1000.0
196,1000.0
197,1000.0
198,1000.0
199,1000.0
200,1000.0
201,1000.0
202,1000.0
203,687.5
204,437.5
205,687.5
206,937.5
207,625.0
208,375.0
209,625.0
210,875.0
211,750.0
212,750.0
213,750.0
214,750.0
215,750.0
216,750.0
output_,1000.0
217,500.0
218,500.0
219,500.0
220,500.0
221,500.0
222,500.0
223,750.0
224,750.0
225,750.0
226,750.0
227,750.0
228,750.0
229,1000.0
230,1000.0
231,1000.0
232,1000.0
233,1000.0
234,1000.0
output,1000
